,question_id,db_id,question,evidence,SQL,difficulty,STs
620,620,codebase_community,State the number of views of users who obtained the badge on 7/19/2010 7:39:08 PM.,on 7/19/2010 7:39:08 PM refers to Date = '2010-07-19 19:39:08.0',SELECT T1.Views FROM users AS T1 INNER JOIN badges AS T2 ON T1.Id = T2.UserId WHERE T2.Date = '2010-07-19 19:39:08.0',simple,"['users', 'badges']"
621,621,codebase_community,What are the name of badges that users who have the lowest reputation obtained?,lowest reputation refers to Min(Reputation); user refers to UserId,SELECT T2.Name FROM users AS T1 INNER JOIN badges AS T2 ON T1.Id = T2.UserId WHERE T1.Reputation = (SELECT MIN(Reputation) FROM users),simple,"['users', 'badges']"
622,622,codebase_community,"State the name of badge that the user whose display name is ""Sharpie"" obtained.","""Sharpie"" is the DisplayName of user; user refers to UserId",SELECT T2.Name FROM users AS T1 INNER JOIN badges AS T2 ON T1.Id = T2.UserId WHERE T1.DisplayName = 'Sharpie',simple,"['users', 'badges']"
623,623,codebase_community,"How many elders obtained the ""Supporter"" badge?","""Supporter"" is the Name of badge;  elders refers to Age > 65",SELECT COUNT(T1.Id) FROM users AS T1 INNER JOIN badges AS T2 ON T1.Id = T2.UserId WHERE T1.Age > 65 AND T2.Name = 'Supporter',simple,"['users', 'badges']"
624,624,codebase_community,What is the name of user with the ID of 30?,name of user refers to DisplayName;,SELECT DisplayName FROM users WHERE Id = 30,simple,['users']
625,625,codebase_community,How many users were from New York?,New York refers to Location;,SELECT COUNT(Id) FROM users WHERE Location = 'New York',simple,['users']
626,626,codebase_community,How many votes were made in 2010?,YEAR(CreationDate) = 2010;,"SELECT COUNT(id) FROM votes WHERE STRFTIME('%Y', CreationDate) = '2010'",simple,['votes']
627,627,codebase_community,How many users were adult?,adult refers to user where Age BETWEEN 19 and 65;,SELECT COUNT(id) FROM users WHERE Age BETWEEN 19 AND 65,simple,['users']
628,628,codebase_community,Which users have the highest number of views?,users have the highest number of views refer to DisplayName where MAX(Views);,"SELECT Id, DisplayName FROM users WHERE Views = ( SELECT MAX(Views) FROM users )",simple,['users']
629,629,codebase_community,Calculate the ratio of votes in 2010 and 2011.,"DIVIDE(COUNT(Id where YEAR(CreationDate) = 2010), COUNT(Id where YEAR(CreationDate) = 2011)) FROM votes;","SELECT CAST(SUM(IIF(STRFTIME('%Y', CreationDate) = '2010', 1, 0)) AS REAL) / SUM(IIF(STRFTIME('%Y', CreationDate) = '2011', 1, 0)) FROM votes",simple,['votes']
630,630,codebase_community,What is the name of tags used by John Salvatier's?,DisplayName = 'John Salvatier';,SELECT T3.Tags FROM users AS T1 INNER JOIN postHistory AS T2 ON T1.Id = T2.UserId INNER JOIN posts AS T3 ON T2.PostId = T3.Id WHERE T1.DisplayName = 'John Salvatier',simple,"['postHistory', 'users', 'posts']"
631,631,codebase_community,How many posts were created by Daniel Vassallo?,DisplayName = 'Daniel Vassallo';,SELECT COUNT(T1.Id) FROM users AS T1 INNER JOIN postHistory AS T2 ON T1.Id = T2.UserId WHERE T1.DisplayName = 'Daniel Vassallo',simple,"['postHistory', 'users']"
632,632,codebase_community,How many votes were made by Harlan?,DisplayName = 'Harlan';,SELECT COUNT(T1.Id) FROM users AS T1 INNER JOIN postHistory AS T2 ON T1.Id = T2.UserId INNER JOIN votes AS T3 ON T3.PostId = T2.PostId WHERE T1.DisplayName = 'Harlan',simple,"['postHistory', 'votes', 'users']"
633,633,codebase_community,Which post by slashnick has the most answers count? State the post ID.,most answers count refers to MAX(AnswerCount); post by slashnick refers to DisplayName = 'slashnick';,SELECT T2.PostId FROM users AS T1 INNER JOIN postHistory AS T2 ON T1.Id = T2.UserId INNER JOIN posts AS T3 ON T2.PostId = T3.Id WHERE T1.DisplayName = 'slashnick' ORDER BY T3.AnswerCount DESC LIMIT 1,moderate,"['postHistory', 'users', 'posts']"
634,634,codebase_community,"Among posts by Harvey Motulsky and Noah Snyder, which one has higher popularity?",Has higher popularity means the post has higher view count ; calculation = MAX(SUM(ViewCount)) where DisplayName = 'Harvey Motulsky' OR DisplayName = 'Noah Snyder';,SELECT T1.DisplayName FROM users AS T1 INNER JOIN postHistory AS T2 ON T1.Id = T2.UserId INNER JOIN posts AS T3 ON T2.PostId = T3.Id WHERE T1.DisplayName = 'Harvey Motulsky' OR T1.DisplayName = 'Noah Snyder' GROUP BY T1.DisplayName ORDER BY SUM(T3.ViewCount) DESC LIMIT 1,challenging,"['postHistory', 'users', 'posts']"
635,635,codebase_community,How many posts by Matt Parker have more than 4 votes?,more than 4 votes refer to PostId > 4; DisplayName = 'Matt Parker';,"SELECT COUNT(T1.Id) FROM users AS T1 INNER JOIN postHistory AS T2 ON T1.Id = T2.UserId INNER JOIN posts AS T3 ON T2.PostId = T3.Id INNER JOIN votes AS T4 ON T4.PostId = T3.Id WHERE T1.DisplayName = 'Matt Parker' GROUP BY T2.PostId, T4.Id HAVING COUNT(T4.Id) > 4",moderate,"['postHistory', 'votes', 'users', 'posts']"
636,636,codebase_community,How many negative comments did Neil McGuigan get in his posts?,Negative comment refers to score < 60; DisplayName = 'Neil McGuigan';,SELECT COUNT(T3.Id) FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId INNER JOIN comments AS T3 ON T2.Id = T3.PostId WHERE T1.DisplayName = 'Neil McGuigan' AND T3.Score < 60,simple,"['posts', 'comments', 'users']"
637,637,codebase_community,State all the tags used by Mark Meckes in his posts that doesn't have comments.,used by Mark Meckes refers to DisplayName = 'Mark Meckes'; Doen't have comments refers to CommentCount = 0;,SELECT T3.Tags FROM users AS T1 INNER JOIN postHistory AS T2 ON T1.Id = T2.UserId INNER JOIN posts AS T3 ON T3.Id = T2.PostId WHERE T1.DisplayName = 'Mark Meckes' AND T3.CommentCount = 0,moderate,"['postHistory', 'users', 'posts']"
638,638,codebase_community,List all the name of users that obtained the Organizer Badges.,name of users refers to DisplayName; the Organizer Badges refer to badges where Name = 'Organizer';,SELECT T1.DisplayName FROM users AS T1 INNER JOIN badges AS T2 ON T1.Id = T2.UserId WHERE T2.`Name` = 'Organizer',simple,"['users', 'badges']"
639,639,codebase_community,"Based on posts posted by Community, calculate the percentage of posts that use the R language.","DIVIDE(COUNT(PostId WHERE TagName = 'r')), (COUNT(PostId WHERE DisplayName = 'Community')) as percentage; R language refers to tagname = 'r'","SELECT CAST(SUM(IIF(T3.TagName = 'r', 1, 0)) AS REAL) * 100 / COUNT(T1.Id) FROM users AS T1 INNER JOIN postHistory AS T2 ON T1.Id = T2.UserId INNER JOIN tags AS T3 ON T3.ExcerptPostId = T2.PostId WHERE T1.DisplayName = 'Community'",challenging,"['tags', 'postHistory', 'users']"
640,640,codebase_community,Calculate the difference in view count from post posted by Mornington and view count from posts posted by Amos.,"calculation = SUBTRACT(SUM(ViewCount where DisplayName = 'Mornington'), SUM(ViewCount where DisplayName = 'Amos'));","SELECT SUM(IIF(T1.DisplayName = 'Mornington', T3.ViewCount, 0)) - SUM(IIF(T1.DisplayName = 'Amos', T3.ViewCount, 0)) AS diff FROM users AS T1 INNER JOIN postHistory AS T2 ON T1.Id = T2.UserId INNER JOIN posts AS T3 ON T3.Id = T2.PostId",moderate,"['postHistory', 'users', 'posts']"
641,641,codebase_community,How many users received commentator badges in 2014?,Commentator is the name of the badge; year(Date) = 2014;,"SELECT COUNT(Id) FROM badges WHERE Name = 'Commentator' AND STRFTIME('%Y', Date) = '2014'",simple,['badges']
642,642,codebase_community,"How many posts were created on 21st July, 2010?","created on 21st July, 2010 refers to CreationDate BETWEEN '2010-07-21 00:00:00' and '2012-07-21 23:59:59';",SELECT COUNT(id) FROM postHistory WHERE date(CreationDate) = '2010-07-21',simple,['postHistory']
643,643,codebase_community,What are the display names and ages of user who got the highest in views?,the highest in views refers to MAX(Views);,"SELECT DisplayName, Age FROM users WHERE Views = ( SELECT MAX(Views) FROM users )",simple,['users']
644,644,codebase_community,"Provide the last edit date and last edit user ID for the post ""Detecting a given face in a database of facial images"".",Title = 'Detecting a given face in a database of facial images';,"SELECT LastEditDate, LastEditorUserId FROM posts WHERE Title = 'Detecting a given face in a database of facial images'",simple,['posts']
645,645,codebase_community,How many negative comments were given by user ID 13?,negative comments refer to Score < 60;,SELECT COUNT(Id) FROM comments WHERE UserId = 13 AND Score < 60,simple,['comments']
646,646,codebase_community,Describe the post title which got positive comments and display names of the users who posted those comments.,positive comments refer to Score > 60;,"SELECT T1.Title, T2.UserDisplayName FROM posts AS T1 INNER JOIN comments AS T2 ON T2.PostId = T2.Id WHERE T1.Score > 60",simple,"['posts', 'comments']"
647,647,codebase_community,Provide the badge names received in 2011 for the user whose location is in the North Pole.,received in 2011 refers to year(Date) = 2011;,"SELECT T2.Name FROM users AS T1 INNER JOIN badges AS T2 ON T1.Id = T2.UserId WHERE STRFTIME('%Y', T2.Date) = '2011' AND T1.Location = 'North Pole'",simple,"['users', 'badges']"
648,648,codebase_community,Provide the users' display names and available website URLs of the post with favorite count of more than 150.,favorite count of more than 150 refers to FavoriteCount > 150;,"SELECT T1.DisplayName, T1.WebsiteUrl FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId WHERE T2.FavoriteCount > 150",simple,"['posts', 'users']"
649,649,codebase_community,"Describe the post history counts and last edit date of the post title ""What is the best introductory Bayesian statistics textbook?""",,"SELECT T1.Id, T2.LastEditDate FROM postHistory AS T1 INNER JOIN posts AS T2 ON T1.PostId = T2.Id WHERE T2.Title = 'What is the best introductory Bayesian statistics textbook?'",simple,"['postHistory', 'posts']"
650,650,codebase_community,Describe the last accessed date and location of the users who received the outliers badge.,Outliers is the name of the badge;,"SELECT T1.LastAccessDate, T1.Location FROM users AS T1 INNER JOIN badges AS T2 ON T1.Id = T2.UserId WHERE T2.Name = 'outliers'",simple,"['users', 'badges']"
651,651,codebase_community,"Provide the related post title of ""How to tell if something happened in a data set which monitors a value over time"".",,SELECT T3.Title FROM postLinks AS T1 INNER JOIN posts AS T2 ON T1.PostId = T2.Id INNER JOIN posts AS T3 ON T1.RelatedPostId = T3.Id WHERE T2.Title = 'How to tell if something happened in a data set which monitors a value over time',simple,"['posts', 'postLinks']"
652,652,codebase_community,List the post IDs and badge names of the user Samuel in 2013.,Samuel refers to UserDisplayName; YEAR(CreationDate) = 2013 relates to PostId; YEAR(Date) = 2013 relates to the badge;,"SELECT T1.PostId, T2.Name FROM postHistory AS T1 INNER JOIN badges AS T2 ON T1.UserId = T2.UserId WHERE T1.UserDisplayName = 'Samuel' AND STRFTIME('%Y', T1.CreationDate) = '2013' AND STRFTIME('%Y', T2.Date) = '2013'",moderate,"['postHistory', 'badges']"
653,653,codebase_community,What is the owner's display name of the most popular post?,Higher view count means the post has higher popularity; the most popular post refers to MAX(ViewCount);,SELECT DisplayName FROM users WHERE Id = ( SELECT OwnerUserId FROM posts ORDER BY ViewCount DESC LIMIT 1 ),simple,"['posts', 'users']"
654,654,codebase_community,Mention the display name and location of the user who owned the excerpt post with hypothesis-testing tag.,user who owned the excerpt post with hypothesis-testing tag refers to OwnerUserId WHERE TagName = 'hypothesis-testing';,"SELECT T3.DisplayName, T3.Location FROM tags AS T1 INNER JOIN posts AS T2 ON T1.ExcerptPostId = T2.Id INNER JOIN users AS T3 ON T3.Id = T2.OwnerUserId WHERE T1.TagName = 'hypothesis-testing'",moderate,"['tags', 'posts', 'users']"
655,655,codebase_community,"Write down the related posts titles and link type IDs of the post ""What are principal component scores?"".",Title = 'What are principal component scores?';,"SELECT T3.Title, T2.LinkTypeId FROM posts AS T1 INNER JOIN postLinks AS T2 ON T1.Id = T2.PostId INNER JOIN posts AS T3 ON T2.RelatedPostId = T3.Id WHERE T1.Title = 'What are principal component scores?'",simple,"['posts', 'postLinks']"
656,656,codebase_community,Describe the display name of the parent ID for child post with the highest score.,"If the parent id is not null, the post is the child post; the highest score refers to MAX(Score);",SELECT DisplayName FROM users WHERE Id = ( SELECT OwnerUserId FROM posts WHERE ParentId IS NOT NULL ORDER BY Score DESC LIMIT 1 ),simple,"['posts', 'users']"
657,657,codebase_community,"Under the vote type of 8, provide the display names and websites URLs of the user who got the highest bounty amount.",vote type of 8 refers to VoteTypeId = 8; the highest bounty amount refers to MAX(BountyAmount);,"SELECT DisplayName, WebsiteUrl FROM users WHERE Id = ( SELECT UserId FROM votes WHERE VoteTypeId = 8 ORDER BY BountyAmount DESC LIMIT 1 )",moderate,"['votes', 'users']"
658,658,codebase_community,What are the titles of the top 5 posts with the highest popularity?,Higher view count means the post has higher popularity; the highest popularity refers to MAX(ViewCount);,SELECT Title FROM posts ORDER BY ViewCount DESC LIMIT 5,simple,['posts']
659,659,codebase_community,"How many tags have post count between 5,000 to 7,000?","post count between 5,000 to 7,000 refers to Count BETWEEN 5000 and 7000;",SELECT COUNT(Id) FROM tags WHERE Count BETWEEN 5000 AND 7000,simple,['tags']
660,660,codebase_community,What is the owner user id of the most valuable post?,the most valuable post refers to MAX(FavoriteCount);,SELECT OwnerUserId FROM posts WHERE FavoriteCount = ( SELECT MAX(FavoriteCount) FROM posts ),simple,['posts']
661,661,codebase_community,How old is the most influential user?,How old describes age; the most influential refers to user where MAX(Reputation);,SELECT Age FROM users WHERE Reputation = ( SELECT MAX(Reputation) FROM users ),simple,['users']
662,662,codebase_community,How many posts with votes that were created in 2011 have a bounty of 50?,created in 2012 refers YEAR(CreationDate) = 2011; BountyAmount = 50;,"SELECT COUNT(T1.Id) FROM posts AS T1 INNER JOIN votes AS T2 ON T1.Id = T2.PostId WHERE T2.BountyAmount = 50 AND STRFTIME('%Y', T2.CreationDate) = '2011'",simple,"['posts', 'votes']"
663,663,codebase_community,What is the id of the youngest user?,the youngest user refers to MIN(Age);,SELECT Id FROM users WHERE Age = ( SELECT MIN(Age) FROM users ),simple,['users']
664,664,codebase_community,What is the sum of score of the post on 2010-07-19?,on 2010-07-19 refers to LasActivityDate LIKE '2010-07-19%';,SELECT SUM(Score) FROM posts WHERE LasActivityDate LIKE '2010-07-19%',simple,['posts']
665,665,codebase_community,What is the average monthly number of links created in 2010 for posts that have no more than 2 answers?,"calculation = DIVIDE(COUNT(Id where YEAR(CreationDate) = 2010 and AnswerCount < = 2), 12)","SELECT CAST(COUNT(T1.Id) AS REAL) / 12 FROM postLinks AS T1 INNER JOIN posts AS T2 ON T1.PostId = T2.Id WHERE T2.AnswerCount <= 2 AND STRFTIME('%Y', T1.CreationDate) = '2010'",moderate,"['posts', 'postLinks']"
666,666,codebase_community,"Among the posts that were voted by user 1465, what is the id of the most valuable post?",user 1465 refers to UserId = 1465; the most valuable post refers to MAX(FavoriteCount);,SELECT T2.Id FROM votes AS T1 INNER JOIN posts AS T2 ON T1.PostId = T2.Id WHERE T1.UserId = 1465 ORDER BY T2.FavoriteCount DESC LIMIT 1,simple,"['posts', 'votes']"
667,667,codebase_community,What is the title of the post with the oldest post link?,the oldest post link refers to MIN(CreaionDate);,SELECT T1.Title FROM posts AS T1 INNER JOIN postLinks AS T2 ON T2.PostId = T1.Id ORDER BY T1.CreaionDate LIMIT 1,simple,"['posts', 'postLinks']"
668,668,codebase_community,What is the display name of the user who acquired the highest amount of badges?,highest amount of badges refers to MAX(COUNT(Name));,SELECT T1.DisplayName FROM users AS T1 INNER JOIN badges AS T2 ON T1.Id = T2.UserId GROUP BY T1.DisplayName ORDER BY COUNT(T1.Id) DESC LIMIT 1,simple,"['users', 'badges']"
669,669,codebase_community,When did 'chl' cast its first vote in a post?,DisplayName = 'chl'; cast its first vote refers to MIN(CreationDate);,SELECT T2.CreationDate FROM users AS T1 INNER JOIN votes AS T2 ON T1.Id = T2.UserId WHERE T1.DisplayName = 'chl' ORDER BY T2.CreationDate LIMIT 1,simple,"['votes', 'users']"
670,670,codebase_community,What is the date when the youngest user made his or her first post?,the youngest user refers to MIN(Age); first post refers to MIN(CreaionDate);,"SELECT T2.CreaionDate FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId WHERE T1.Age IS NOT NULL ORDER BY T1.Age, T2.CreaionDate LIMIT 1",simple,"['posts', 'users']"
671,671,codebase_community,What is the display name of the user who acquired the first Autobiographer badge?,Autobiographer is the name of the badge; acquired the first refers to MIN(Date);,SELECT T1.DisplayName FROM users AS T1 INNER JOIN badges AS T2 ON T1.Id = T2.UserId WHERE T2.`Name` = 'Autobiographer' ORDER BY T2.Date LIMIT 1,simple,"['users', 'badges']"
672,672,codebase_community,"Among the users located in United Kingdom, how many users whose post have a total favorite amount of 4 or more?",favorite amount of 4 or more refers to FavoriteCount > = 4; Location = 'United Kingdom';,SELECT COUNT(T1.Id) FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId WHERE T1.Location = 'United Kingdom' AND T2.FavoriteCount >= 4,moderate,"['posts', 'users']"
673,673,codebase_community,What is the average number of posts voted by the oldest users?,average number of posts voted refers to AVG(PostId) FROM votes; the oldest users refer to MAX(Age);,SELECT AVG(PostId) FROM votes WHERE UserId IN ( SELECT Id FROM users WHERE Age = ( SELECT MAX(Age) FROM users ) ),simple,"['votes', 'users']"
674,674,codebase_community,Who has the highest reputation? Please give the display name.,the highest reputation refers to MAX(Reputation);,SELECT DisplayName FROM users WHERE Reputation = ( SELECT MAX(Reputation) FROM users ),simple,['users']
675,675,codebase_community,How many users whose reputations are higher than 2000 and the number of views is higher than 1000?,reputations are higher than 2000 refer to Reputation > 2000; number of views is higher than 1000 refers to Views > 1000;,SELECT COUNT(id) FROM users WHERE Reputation > 2000 AND Views > 1000,simple,['users']
676,676,codebase_community,Please list all display names of users who are adults.,adults refer to users where Age BETWEEN 19 and 65;,SELECT DisplayName FROM users WHERE Age BETWEEN 19 AND 65,simple,['users']
677,677,codebase_community,How many posts did Jay Stevens have in 2010?,DisplayName = 'Jay Stevens'; in 2010 refers to YEAR(CreationDate) = 2010;,"SELECT COUNT(T1.Id) FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId WHERE STRFTIME('%Y', T2.CreaionDate) = '2010' AND T1.DisplayName = 'Jay Stevens'",simple,"['posts', 'users']"
678,678,codebase_community,Which post by Harvey Motulsky has the most views? Please give the id and title of this post.,DisplayName = 'Harvey Motulsky'; the most views refer to MAX(ViewCount);,"SELECT T2.Id, T2.Title FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId WHERE T1.DisplayName = 'Harvey Motulsky' ORDER BY T2.ViewCount DESC LIMIT 1",simple,"['posts', 'users']"
679,679,codebase_community,Which post has the highest score? Please give its id and title's name.,the highest score refers to MAX(Score); owner's name refers to DisplayName;,"SELECT T1.Id, T2.Title FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId ORDER BY T2.Score DESC LIMIT 1",simple,"['posts', 'users']"
680,680,codebase_community,What is the average score of Stephen Turner's posts?,DisplayName = 'Stephen Turner'; average score refers to AVG(Score);,SELECT AVG(T2.Score) FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId WHERE T1.DisplayName = 'Stephen Turner',simple,"['posts', 'users']"
681,681,codebase_community,Please list the users' display names whose posts had over 20000 views in 2011.,had over 20000 views in 2011 refers to ViewCount > 20000 where YEAR(CreationDate) = 2011;,"SELECT T1.DisplayName FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId WHERE STRFTIME('%Y', T2.CreaionDate) = '2011' AND T2.ViewCount > 20000",simple,"['posts', 'users']"
682,682,codebase_community,Which is the most valuable post in 2010? Please give its id and the owner's display name.,the most valuable post in 2015 refers to MAX(FavoriteCount) where year(CreationDate) = 2010;,"SELECT T2.OwnerUserId, T1.DisplayName FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId WHERE STRFTIME('%Y', T1.CreationDate) = '2010' ORDER BY T2.FavoriteCount DESC LIMIT 1",moderate,"['posts', 'users']"
683,683,codebase_community,What is the percentage of posts whose owners had a reputation of over 1000 in 2011?,"percentage = DIVIDE(COUNT(Id where YEAR(CreationDate) = 2011 and Reputation > 1000), COUNT(Id) ) * 100;","SELECT CAST(SUM(IIF(STRFTIME('%Y', T2.CreaionDate) = '2011' AND T1.Reputation > 1000, 1, 0)) AS REAL) * 100 / COUNT(T1.Id) FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId",moderate,"['posts', 'users']"
684,684,codebase_community,Identify the percentage of teenage users.,"DIVIDE(COUNT(Id where Age BETWEEN 13 and 18), COUNT(Id)) as percentage;","SELECT CAST(SUM(IIF(Age BETWEEN 13 AND 18, 1, 0)) AS REAL) * 100 / COUNT(Id) FROM users",simple,['users']
685,685,codebase_community,Identify the total views on the post 'Computer Game Datasets'. Name the user who posted it last time.,total views refer to ViewCount; Name the user refers to DisplayName; post 'Computer Game Datasets' refers to Text = 'Computer Game Datasets';,"SELECT T2.ViewCount, T3.DisplayName FROM postHistory AS T1 INNER JOIN posts AS T2 ON T1.PostId = T2.Id INNER JOIN users AS T3 ON T2.LastEditorUserId = T3.Id WHERE T1.Text = 'Computer Game Datasets'",moderate,"['postHistory', 'users', 'posts']"
686,686,codebase_community,Identify the total number of posts with views above average.,views above average refer to ViewCount > AVG(ViewCount);,SELECT Id FROM posts WHERE ViewCount > ( SELECT AVG(ViewCount) FROM posts ),simple,['posts']
687,687,codebase_community,How many comments were added to the post with the highest score?,the highest score refers to MAX(Score);,SELECT COUNT(T2.Id) FROM posts AS T1 INNER JOIN comments AS T2 ON T1.Id = T2.PostId GROUP BY T1.Id ORDER BY SUM(T1.Score) DESC LIMIT 1,simple,"['posts', 'comments']"
688,688,codebase_community,Identify the number of posts that have been viewed over 35000 times but have received no comments from other users.,have been viewed over 35000 times refers to ViewCount > 35000; received no comments refers to CommentCount = 0;,SELECT COUNT(Id) FROM posts WHERE ViewCount > 35000 AND CommentCount = 0,simple,['posts']
689,689,codebase_community,"Identify the display name and location of the user, who was the last to edit the post with ID 183.",last to edit refers to MAX(LastEditDate);,"SELECT T2.DisplayName, T2.Location FROM posts AS T1 INNER JOIN users AS T2 ON T1.OwnerUserId = T2.Id WHERE T1.Id = 183 ORDER BY T1.LastEditDate DESC LIMIT 1",simple,"['posts', 'users']"
690,690,codebase_community,Identify the latest badge awarded to the user with the display name Emmett.,the latest badge refers to Name FROM badges where MAX(Date);,SELECT T1.Name FROM badges AS T1 INNER JOIN users AS T2 ON T1.UserId = T2.Id WHERE T2.DisplayName = 'Emmett' ORDER BY T1.Date DESC LIMIT 1,simple,"['users', 'badges']"
691,691,codebase_community,Identify the number of adult users who have cast over 5000 upvotes.,adult users refer to Age BETWEEN 19 and 65; over 5000 upvotes refer to UpVotes > 5000;,SELECT COUNT(Id) FROM users WHERE Age BETWEEN 19 AND 65 AND UpVotes > 5000,simple,['users']
692,692,codebase_community,"How long did it take the user, known by his or her display name 'Zolomon' to get the badge? Count from the date the user's account was created.","SUBTRACT(Date from stats_badges, CreationDate) where DisplayName = 'Zolomon';",SELECT T1.Date - T2.CreationDate FROM badges AS T1 INNER JOIN users AS T2 ON T1.UserId = T2.Id WHERE T2.DisplayName = 'Zolomon',moderate,"['users', 'badges']"
693,693,codebase_community,"Identify the number of posts and comments left by the user, who has the latest created user account.",the latest created user account refers to MAX(CreationDate);,SELECT COUNT(T2.Id) FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId INNER JOIN comments AS T3 ON T3.PostId = T2.Id ORDER BY T1.CreationDate DESC LIMIT 1,simple,"['posts', 'comments', 'users']"
694,694,codebase_community,Provide the text of the latest 10 comments to the post with the title 'Analysing wind data with R' and the display name of the user who left it.,the latest comment refers to MAX(CreationDate);,"SELECT T3.Text, T1.DisplayName FROM users AS T1 INNER JOIN posts AS T2 ON T1.Id = T2.OwnerUserId INNER JOIN comments AS T3 ON T2.Id = T3.PostId WHERE T2.Title = 'Analysing wind data with R' ORDER BY T1.CreationDate DESC LIMIT 10",moderate,"['posts', 'comments', 'users']"
695,695,codebase_community,How many users were awarded with 'Citizen Patrol' badge?,Citizen Patrol' is the name of the badge;,SELECT COUNT(id) FROM badges WHERE `Name` = 'Citizen Patrol',simple,['badges']
696,696,codebase_community,Count the number of posts with a tag specified as 'careers'.,tag specified as 'careers' refers to TagName = 'careers';,SELECT COUNT(Id) FROM tags WHERE TagName = 'careers',simple,['tags']
697,697,codebase_community,"What is the reputation and view count of the user, who is known by his or her display name 'Jarrod Dixon'?",,"SELECT Reputation, Views FROM users WHERE DisplayName = 'Jarrod Dixon'",simple,['users']
698,698,codebase_community,How many comments and answers were left by the users on the post with the title 'Clustering 1D data'?,,"SELECT CommentCount, AnswerCount FROM posts WHERE Title = 'Clustering 1D data'",simple,['posts']
699,699,codebase_community,When did the user known as 'IrishStat' create his or her account?,DisplayName = 'IrishStat'; when create his or her account refers to CreationDate;,SELECT CreationDate FROM users WHERE DisplayName = 'IrishStat',simple,['users']
700,700,codebase_community,Identify the number of posts that offer a bounty amount over 30.,bounty amount over 30 refers to BountyAmount > = 30;,SELECT COUNT(id) FROM votes WHERE BountyAmount >= 30,simple,['votes']
701,701,codebase_community,"Among all the posts posted by the most influential user, identify the percentage with a score above 50.","The higher reputation the user has the more influence; percentage = DIVIDE(COUNT(stats_posts.Id where Score > 50 and MAX(Reputation))), COUNT(stats_posts.Id where MAX(Reputation));",SELECT CAST(SUM(CASE WHEN T2.Score > 50 THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(T1.Id) FROM users T1 INNER JOIN posts T2 ON T1.Id = T2.OwnerUserId INNER JOIN ( SELECT MAX(Reputation) AS max_reputation FROM users ) T3 ON T1.Reputation = T3.max_reputation,challenging,"['posts', 'users']"
702,702,codebase_community,How many posts have a score less than 20?,score less than 20 refers to Score < 20;,SELECT COUNT(id) FROM posts WHERE Score < 20,simple,['posts']
703,703,codebase_community,"Among the tags with tag ID below 15, how many of them have 20 count of posts and below?",ID below 15 refers to Id < 15; have 20 count of posts and below refers to Count < = 20;,SELECT COUNT(id) FROM tags WHERE Count <= 20 AND Id < 15,simple,['tags']
704,704,codebase_community,What is the excerpt post ID and wiki post ID of the tag named sample?,tag named sample refers to TagName = 'sample';,"SELECT ExcerptPostId, WikiPostId FROM tags WHERE TagName = 'sample'",simple,['tags']
705,705,codebase_community,"Give the user's reputation and up vote number of the user that commented ""fine, you win :)"".","Text = 'fine, you win :)';","SELECT T2.Reputation, T2.UpVotes FROM comments AS T1 INNER JOIN users AS T2 ON T1.UserId = T2.Id WHERE T1.Text = 'fine, you win :)'",simple,"['users', 'comments']"
706,706,codebase_community,Give the texts commented on the post about linear regression.,about linear regression refers to Title contains 'linear regression',SELECT T1.Text FROM comments AS T1 INNER JOIN posts AS T2 ON T1.PostId = T2.Id WHERE T2.Title LIKE '%linear regression%',simple,"['posts', 'comments']"
707,707,codebase_community,"Among the posts with views ranging from 100 to 150, what is the comment with the highest score?",views ranging from 100 to 150 refers to ViewCount BETWEEN 100 and 150; comment with the highest score refers to Text where MAX(Score);,SELECT Text FROM comments WHERE PostId IN ( SELECT Id FROM posts WHERE ViewCount BETWEEN 100 AND 150 ) ORDER BY Score DESC LIMIT 1,moderate,"['posts', 'comments']"
708,708,codebase_community,List the creation date and age of the user that commented with webiste.,commented with webiste refers to the value contains 'http://',"SELECT T2.CreationDate, T2.Age FROM comments AS T1 INNER JOIN users AS T2 ON T1.UserId = T2.Id WHERE T1.text LIKE '%http://%'",moderate,"['users', 'comments']"
709,709,codebase_community,"In comments with 0 score, how many of the posts have view count lower than 5?",view count lower than 5 refers to ViewCount < 5;,SELECT COUNT(T1.Id) FROM comments AS T1 INNER JOIN posts AS T2 ON T1.PostId = T2.Id WHERE T2.ViewCount < 5 AND T2.Score = 0,simple,"['posts', 'comments']"
